X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
322.54	144.57	NaN	307.69	58.243	NaN	298.18	949.8	NaN	319.9	833.51	NaN	NaN	NaN	NaN
321.87	142.11	NaN	306.92	54.44	NaN	298.4	948.15	NaN	331.11	813.47	NaN	NaN	NaN	NaN
321.87	142.87	NaN	309.73	64	NaN	300.19	952.08	NaN	311.92	832.84	NaN	NaN	NaN	NaN
321.87	142.87	NaN	309.73	64	NaN	300.18	951.68	NaN	311.92	832.84	NaN	NaN	NaN	NaN
319.73	127	NaN	NaN	NaN	NaN	317.84	965.09	NaN	310.38	825.69	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	313.17	966.49	NaN	310.51	823.75	NaN	308.38	48.189	NaN
319.78	123.24	NaN	NaN	NaN	NaN	310.15	965.13	NaN	312.91	833.48	NaN	NaN	NaN	NaN
NaN	NaN	NaN	309.17	48.813	NaN	309.66	971.82	NaN	316.92	842.04	NaN	322.56	145.53	NaN
NaN	NaN	NaN	310.98	56.475	NaN	309.39	973.59	NaN	318.93	844.94	NaN	322.27	142.6	NaN
313.31	86.333	NaN	308.89	48.878	NaN	309.03	974.87	NaN	318.62	848.59	NaN	322.57	145.31	NaN
NaN	NaN	NaN	308	49.082	NaN	302.98	973.96	NaN	320.19	847.12	NaN	322.28	142.87	NaN
NaN	NaN	NaN	308.18	45.067	NaN	303.36	975.04	NaN	321.62	847.13	NaN	324.3	150.67	NaN
NaN	NaN	NaN	307.47	46.638	NaN	310	978.57	NaN	322.59	847.54	NaN	323.05	147.26	NaN
NaN	NaN	NaN	307.33	47.817	NaN	309.78	981.76	NaN	323.09	846.85	NaN	323.49	149.03	NaN
NaN	NaN	NaN	307.62	49.04	NaN	308.31	979.63	NaN	323.95	847.11	NaN	323.04	147.66	NaN
NaN	NaN	NaN	307.62	49.04	NaN	308.31	979.63	NaN	323.95	847.11	NaN	323.04	147.65	NaN
300.35	966.52	NaN	308.23	55.126	NaN	301.01	216.54	NaN	325.33	843.65	NaN	323.85	152.04	NaN
300.73	967.52	NaN	307.69	55.646	NaN	296.14	212.69	NaN	326.81	841.6	NaN	322.8	151.82	NaN
301.79	967.65	NaN	306.05	56.22	NaN	294.8	210.48	NaN	327.64	838.85	NaN	323.87	152.66	NaN
302.52	965.43	NaN	306.01	56.418	NaN	295.02	210.95	NaN	328.12	838.18	NaN	324.27	151.08	NaN
302.37	967.66	NaN	305.93	54.546	NaN	293.39	210.48	NaN	326.56	836.54	NaN	324.26	150.46	NaN
304.79	966.13	NaN	304.98	54.371	NaN	296.95	210	NaN	NaN	NaN	NaN	324.17	150.87	NaN
308.73	974.66	NaN	307.62	57.89	NaN	297.5	209.3	NaN	NaN	NaN	NaN	323.44	146.75	NaN
316.78	964.43	NaN	308.84	60.967	NaN	294.6	209.41	NaN	336.56	856.64	NaN	323.88	146.47	NaN
319.41	963.13	NaN	307.63	55.79	NaN	297.56	207.29	NaN	347.95	859.92	NaN	324.25	149.3	NaN
318.22	960.77	NaN	305.27	57.667	NaN	NaN	NaN	NaN	365.14	867.55	NaN	324.27	147.89	NaN
343.42	988.06	NaN	305.36	57.908	NaN	299.05	210.99	NaN	376.92	869.94	NaN	325.02	147.93	NaN
NaN	NaN	NaN	306.47	61.125	NaN	303.4	212.79	NaN	386.02	871.59	NaN	325.66	148.27	NaN
NaN	NaN	NaN	306.53	60.905	NaN	303.32	212.75	NaN	386.02	871.59	NaN	325.6	148.05	NaN
317.56	945.98	NaN	303.73	53.335	NaN	304.74	212.3	NaN	393.29	870.83	NaN	326.23	148.49	NaN
302.86	950.69	NaN	305.43	61.198	NaN	302.95	214.69	NaN	399.15	874.66	NaN	327.83	152.1	NaN
319.68	944.69	NaN	307.34	61.445	NaN	NaN	NaN	NaN	404.35	879.32	NaN	327.96	152.6	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	407.75	884.06	NaN	329.38	155.89	NaN
NaN	NaN	NaN	NaN	NaN	NaN	307.35	64.381	NaN	410.83	886.38	NaN	328.19	153.53	NaN
NaN	NaN	NaN	NaN	NaN	NaN	306.96	62.249	NaN	410.8	888.16	NaN	328.09	152.88	NaN
NaN	NaN	NaN	NaN	NaN	NaN	305.81	62.773	NaN	409.62	886.88	NaN	329.56	157.34	NaN
NaN	NaN	NaN	NaN	NaN	NaN	306.32	60.935	NaN	304.83	981.96	NaN	329.98	161	NaN
NaN	NaN	NaN	NaN	NaN	NaN	305.03	64.978	NaN	312.12	989.39	NaN	330.57	160.65	NaN
NaN	NaN	NaN	NaN	NaN	NaN	307.16	66.446	NaN	312.33	990.34	NaN	329.74	157.92	NaN
NaN	NaN	NaN	NaN	NaN	NaN	305.99	64.085	NaN	298.09	999.22	NaN	329.16	155.42	NaN
NaN	NaN	NaN	NaN	NaN	NaN	303.89	63.48	NaN	293.33	1002.9	NaN	329.16	155.08	NaN
NaN	NaN	NaN	NaN	NaN	NaN	303.89	63.48	NaN	293.33	1002.9	NaN	329.16	155.08	NaN
NaN	NaN	NaN	NaN	NaN	NaN	307.14	61.556	NaN	NaN	NaN	NaN	330.2	157.38	NaN
325.44	143.13	NaN	411.8	1024.6	NaN	NaN	NaN	NaN	303.87	997.79	NaN	NaN	NaN	NaN
NaN	NaN	NaN	406.62	1024.5	NaN	306.62	62.486	NaN	303.74	999.52	NaN	NaN	NaN	NaN
NaN	NaN	NaN	405.85	1024.7	NaN	306.34	60.443	NaN	305.11	1000.2	NaN	NaN	NaN	NaN
325.12	140.97	NaN	407.02	1025.2	NaN	NaN	NaN	NaN	305.26	1002.1	NaN	NaN	NaN	NaN
325.3	138.46	NaN	408.4	1025	NaN	NaN	NaN	NaN	303.26	1004.1	NaN	NaN	NaN	NaN
324.7	136.82	NaN	420.1	1024.4	NaN	NaN	NaN	NaN	288.44	1016.6	NaN	NaN	NaN	NaN
325.13	140.05	NaN	423.37	1024.1	NaN	NaN	NaN	NaN	291.55	1013.3	NaN	356.54	953.35	NaN
323.85	135.24	NaN	426.68	1023.6	NaN	NaN	NaN	NaN	290.18	1015.5	NaN	NaN	NaN	NaN
NaN	NaN	NaN	420.26	1024.3	NaN	305.09	68.256	NaN	282.45	1018.1	NaN	328.09	151.43	NaN
