X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
284	204.5	NaN	334.95	224.46	NaN	397.5	145.5	NaN	1746.3	689.66	NaN	1762.5	822.5	NaN
284	205	NaN	335	224.5	NaN	397.5	145.5	NaN	1748.1	683.04	NaN	1762.5	815.5	NaN
284	205	NaN	335	225.5	NaN	397.5	145.5	NaN	1749.9	676.52	NaN	1762.5	808.5	NaN
284	206	NaN	335	225.5	NaN	397.5	145.5	NaN	1751.7	669.96	NaN	1762.5	801.55	NaN
284.5	206	NaN	335	226.5	NaN	397.5	145.5	NaN	1753.5	663.36	NaN	1762	795	NaN
285	206	NaN	335.5	226.5	NaN	397.5	145.5	NaN	1753.3	662.35	NaN	1761.6	788.42	NaN
285	207	NaN	335.5	227.5	NaN	397.5	145.5	NaN	1753	661.32	NaN	1761.5	781.5	NaN
285	207	NaN	335.37	227.78	NaN	397.5	144	NaN	1752.8	660.4	NaN	1761.5	774.5	NaN
285	207.5	NaN	336	228.5	NaN	397.5	142.5	NaN	1752.5	659.38	NaN	1761.5	767.5	NaN
285.12	208.08	NaN	336	229	NaN	397.5	140.5	NaN	1752.3	658.35	NaN	1761	760.5	NaN
285.5	208	NaN	336	229.5	NaN	397.3	139.11	NaN	1752	657.34	NaN	1760.5	753.95	NaN
286	209	NaN	336	230	NaN	397	137.5	NaN	1751.7	656.4	NaN	1760.5	747.5	NaN
286	209	NaN	336	230.5	NaN	396.95	135.56	NaN	1751.5	655.38	NaN	1760.5	740.5	NaN
286	209.5	NaN	336	231.5	NaN	396.5	134.5	NaN	1752.3	653.55	NaN	1760.5	733.5	NaN
286	210	NaN	336	231.5	NaN	396.5	132.5	NaN	1752.9	651.84	NaN	1759.6	726.5	NaN
286.5	210	NaN	336.5	232.5	NaN	395.5	131.5	NaN	1753.5	650	NaN	1759.5	719.5	NaN
287.03	210.54	NaN	336.5	232.5	NaN	395	130	NaN	1754.3	648.18	NaN	1759.5	712.5	NaN
287	211	NaN	336.5	233.5	NaN	394.5	129	NaN	1754.9	646.49	NaN	1759.5	706	NaN
287	211	NaN	336.5	233.5	NaN	393.5	128	NaN	1755.5	644.72	NaN	1759.6	699.21	NaN
287	212	NaN	336.5	234.5	NaN	392.56	127.44	NaN	1756.3	642.96	NaN	1759.5	698	NaN
287.04	212.03	NaN	337	234.5	NaN	391	127	NaN	1756.9	641.11	NaN	1759.5	697	NaN
287.5	212.5	NaN	337	235.5	NaN	389.5	127	NaN	1757.5	639.36	NaN	1759.5	696	NaN
288	213	NaN	337	235.5	NaN	387.5	127	NaN	1756.3	636.16	NaN	1759.5	694.95	NaN
288	213	NaN	337	236.5	NaN	385.63	127.09	NaN	1754.9	633.03	NaN	1759.5	693.55	NaN
288	213.5	NaN	337	236.5	NaN	384	127.5	NaN	1753.5	629.98	NaN	1760	692.5	NaN
288	214	NaN	337	237.5	NaN	382.5	127.5	NaN	1752.3	626.87	NaN	1760	691.5	NaN
288.5	214	NaN	337	238	NaN	380.5	128	NaN	1750.9	623.74	NaN	1760.4	690.58	NaN
289	215	NaN	337	238.5	NaN	378.74	128.31	NaN	1749.6	620.57	NaN	1760.5	689.5	NaN
289	215	NaN	337.5	239	NaN	377	128.5	NaN	1748.2	617.41	NaN	1760.5	688.5	NaN
289	215.5	NaN	337.5	239	NaN	375.5	129	NaN	1746.8	614.31	NaN	1760.5	687.5	NaN
289	216	NaN	337.5	239	NaN	373.5	129.5	NaN	1745.5	610.94	NaN	1760.5	686.5	NaN
289	216	NaN	337.5	239	NaN	371.5	129.5	NaN	1744.2	608.02	NaN	1760.5	685.5	NaN
289.5	217	NaN	337.5	239	NaN	370	129.5	NaN	1742.9	604.92	NaN	1761	684.5	NaN
290	217	NaN	337.5	239	NaN	368.5	130	NaN	1741.5	601.76	NaN	1761.5	683.5	NaN
290	217	NaN	337.5	239	NaN	366.5	130	NaN	1740.3	598.62	NaN	1761.5	682.5	NaN
290	218	NaN	337.5	239	NaN	364.5	129.5	NaN	1738.9	595.54	NaN	1762.5	681.5	NaN
290	218	NaN	337.5	239	NaN	364	129.5	NaN	1737.5	592.4	NaN	1762.5	680.5	NaN
290.23	218.35	NaN	337.5	239	NaN	363.5	129	NaN	1736.3	586.47	NaN	1763.5	680	NaN
290.5	219	NaN	337.5	239	NaN	363	128.5	NaN	1735.2	580.6	NaN	1764.5	680	NaN
291	219	NaN	337.5	239	NaN	363.27	127.63	NaN	1733.9	574.85	NaN	1766	680	NaN
291	220	NaN	337.5	239	NaN	363.5	126.5	NaN	1732.7	568.96	NaN	1766.5	679.45	NaN
291	220	NaN	337.5	239	NaN	363.5	125.5	NaN	1731.5	563.04	NaN	1766.5	679.5	NaN
291	220	NaN	337.5	239	NaN	364	124.5	NaN	1730.3	557.16	NaN	1766.5	679.5	NaN
291	221	NaN	337.5	239	NaN	364.5	124	NaN	1729	551.34	NaN	1766.5	679.5	NaN
291.5	221	NaN	337.5	239	NaN	364.5	123	NaN	1727.2	544.26	NaN	1766.5	679.5	NaN
292	222	NaN	337.5	239	NaN	364.5	122	NaN	1725.3	537.18	NaN	1766.5	679.5	NaN
292	222	NaN	337.5	239	NaN	364.5	121	NaN	1723.5	530.13	NaN	1766.5	679.5	NaN
292	222	NaN	337.5	239	NaN	364.5	120	NaN	1721.5	523.05	NaN	1766.5	679.5	NaN
292	223	NaN	337.5	239	NaN	364	119.5	NaN	1719.7	516.03	NaN	1766.5	679.5	NaN
292	223	NaN	337.5	239	NaN	363.5	119	NaN	1717.8	508.99	NaN	1766.5	679.5	NaN
292.5	223.5	NaN	337.5	239	NaN	363	118.5	NaN	1715.9	501.95	NaN	1766.5	679.5	NaN
292.5	224	NaN	337.5	239	NaN	362.5	118.5	NaN	1714	494.89	NaN	1766.5	679.5	NaN
293	224	NaN	337.5	239	NaN	362	118	NaN	1712.2	487.88	NaN	1766.5	679.5	NaN
293	225	NaN	337.5	239	NaN	361.5	118	NaN	1710.3	480.78	NaN	1770	675.5	NaN
293	225	NaN	337.5	239	NaN	360.5	117.5	NaN	1708.5	473.7	NaN	1773.5	671.5	NaN
293	225.5	NaN	337.5	239	NaN	356.5	116	NaN	1706.6	466.68	NaN	1775.5	667	NaN
293	226	NaN	337.5	239	NaN	352	114.5	NaN	1704.7	459.55	NaN	1776	662.45	NaN
293	226	NaN	337.5	239	NaN	348	113	NaN	1702.8	452.49	NaN	1775.4	657.41	NaN
293.5	227	NaN	337.5	239	NaN	343.5	111.5	NaN	1700.9	445.45	NaN	1773	646.5	NaN
